SORT_LNP,Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,SORT_lipid,IL_NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),SORT_of_total,on_target
B242,,N/A,SM-102,DOPE,18PG,7.920520902,54.18789421,0,4.657965779,17.02549029,9.568807353
B243,,N/A,SM-102,DOPE,18PG,20.78429919,58.04466739,0,4.558384013,34.89023314,6.67890936
B244,,N/A,SM-102,DOPE,18PG,10.14386976,63.27827589,0,2.668344653,12.54679445,8.876054992
B245,,N/A,SM-102,DOPE,18PG,16.84463271,49.40955165,0,1.752941728,7.197434409,9.256539284
B246,,N/A,SM-102,DOPE,18PG,11.11501744,45.17704924,0,2.169518971,10.69574327,9.414659964
B247,,N/A,SM-102,DOPE,18PG,10.01481169,50.17593323,0,2.699551153,14.3458961,8.920676651
B248,,N/A,SM-102,DOPE,18PG,18.85326667,44.32971945,0,3.783933447,10.96349498,9.283321133
B249,,N/A,SM-102,DOPE,18PG,8.926423311,58.73613305,0,1.536994898,31.02490771,5.968274455
B250,,N/A,SM-102,DOPE,18PG,5.037035892,28.52616955,0,1.057194385,3.399864931,10.57284777
B251,,N/A,SM-102,DOPE,18PG,4.068308561,30.90940565,0,1.303739238,4.605118135,10.8410906
B252,,N/A,SM-102,DOPE,18PG,6.095056047,25.01366352,0,1.186943469,3.036684481,10.63385732
B253,,N/A,SM-102,DOPE,18PG,5.265855957,42.34298381,0,1.288207316,6.179029268,10.46064717
B254,,N/A,SM-102,DOPE,18PG,5.22927452,24.78338287,0,1.122173786,3.511884396,10.58949065
B255,,N/A,SM-102,DOPE,18PG,4.918920918,45.05172547,0,1.115075767,5.65804567,10.15123808
B256,,N/A,SM-102,DOPE,18PG,4.523266638,27.64848044,0,1.082744491,3.862471554,10.60509531
B257,,N/A,SM-102,DOPE,18PG,5.201356764,20.48779154,0,1.18573606,2.393700529,10.31364553
B258,,N/A,SM-102,DOPE,18PG,6.761997098,36.08958765,0,1.366233881,5.049617014,10.34589702
B259,,N/A,SM-102,DOPE,18PG,5.934757992,27.87218448,0,1.406770496,3.036056564,10.71575836
B260,,N/A,SM-102,DOPE,18PG,4.566887403,34.47393257,0,1.433613927,3.797458926,10.15580063
B261,,N/A,SM-102,DOPE,18PG,6.20410431,40.78608144,0,1.43876435,4.403607139,10.31236254
B262,,N/A,SM-102,DOPE,18PG,6.761824606,32.56339029,0,1.394717121,3.611816893,9.773409049
B263,,N/A,SM-102,DOPE,18PG,4.2336411,39.66409586,0,1.46093627,4.419511846,10.06621267
B264,,N/A,SM-102,DOPE,18PG,4.274645886,26.08692828,0,1.398843556,2.924932387,10.30650522
B265,,N/A,SM-102,DOPE,18PG,4.680386148,22.41907658,0,1.491798226,2.451317058,10.19366091
B266,,N/A,SM-102,DOPE,18PG,4.122122936,30.65844616,0,1.396424911,3.526434596,10.29081838
B267,,N/A,SM-102,DOPE,18PG,6.742677695,36.98620747,0,1.462186659,4.185702785,10.05490524
