Formula_label,FALCON_ID,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,SM102_PcntMolar,18PG_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_RAMOS,nLnLE_HEPG2,nLnLE_Selectivity
133,F1133,3,DA,RAMOS,SM-102,18PG,4.274645886,27.7,8,1.4,25.5,2.2,71.3,1,3.801167274,7.335858325,-3.534691051
134,F1134,3,DA,RAMOS,SM-102,18PG,4.680386148,23.9,7.8,1.5,22,1.8,75,1.1,3.688322968,7.004887232,-3.316564264
135,F1135,3,DA,RAMOS,SM-102,18PG,4.122122936,32.5,8.2,1.4,29.8,2.7,66.5,0.9,3.785480438,7.762354378,-3.97687394
136,F1136,3,DA,RAMOS,SM-102,18PG,6.742677695,39,8.1,1.5,35.8,3.2,60.1,0.9,3.549567298,8.204643502,-4.655076204
137,F1137,3,DA,RAMOS,SM-102,18PG,7.201356059,32.1,10.3,1,28.8,3.3,67.2,0.7,3.76490729,8.582412026,-4.817504736
138,F1138,1,NSGAII,RAMOS,SM-102,18PG,10.204,86.4,7.7,0.5,79.7,6.7,13.5,0.1,2.489077892,5.32795445,-2.838876559
139,F1139,1,NSGAII,RAMOS,SM-102,18PG,5.947,20.5,52.2,1.4,9.8,10.7,78.4,1.1,-0.059879876,1.96599325,-2.025873126
140,F1140,1,NSGAII,RAMOS,SM-102,18PG,10.181,82,52.7,1.1,38.8,43.2,17.8,0.2,-0.117376853,3.469619398,-3.586996251
141,F1141,1,NSGAII,RAMOS,SM-102,18PG,4.027,28.6,8.8,1.1,26.1,2.5,70.6,0.8,4.450536871,9.716769773,-5.266232902
142,F1142,1,NSGAII,RAMOS,SM-102,18PG,10.715,61.3,22.4,1.4,47.6,13.7,38.1,0.5,3.860461876,7.002018855,-3.141556979
143,F1143,1,NSGAII,RAMOS,SM-102,18PG,5.864,28.6,28.4,1.1,20.5,8.1,70.6,0.8,4.796006411,9.493501386,-4.697494975
144,F1144,1,NSGAII,RAMOS,SM-102,18PG,10.631,61.7,7.7,0.6,56.9,4.8,38.1,0.2,3.725920084,7.447453568,-3.721533484
145,F1145,1,NSGAII,RAMOS,SM-102,18PG,10.164,59.7,43.7,1.1,33.6,26.1,39.9,0.4,-0.305930926,2.340033934,-2.64596486
146,F1146,1,NSGAII,RAMOS,SM-102,18PG,10.06,89.4,47.7,0.2,46.8,42.6,10.6,0,-0.499713926,1.061451671,-1.561165597
147,F1147,1,NSGAII,RAMOS,SM-102,18PG,4.548,27.2,43.9,1.1,15.3,12,72,0.8,0.000799342,0.260592392,-0.259793051
148,F1148,1,NSGAII,RAMOS,SM-102,18PG,10.136,88.2,15.6,1,74.4,13.8,11.7,0.1,2.778028747,4.336030972,-1.558002225
149,F1149,1,NSGAII,RAMOS,SM-102,18PG,10.718,66.5,52.7,1.1,31.4,35,33.2,0.4,-0.560639386,0.005210875,-0.56585026
150,F1150,1,NSGAII,RAMOS,SM-102,18PG,6.913,20,41.4,1.4,11.7,8.3,78.9,1.1,0.61415128,2.495096295,-1.880945015
151,F1151,1,NSGAII,RAMOS,SM-102,18PG,4.006,21.7,34.1,1.1,14.3,7.4,77.4,0.9,2.311041973,4.138466134,-1.827424161
152,F1152,1,NSGAII,RAMOS,SM-102,18PG,5.904,29.4,19.7,1.1,23.6,5.8,69.8,0.8,3.601141575,8.552244908,-4.951103333
153,F1153,2,NSGAII,RAMOS,SM-102,18PG,10.717,80.5,31.4,0.2,55.3,25.3,19.4,0,3.552430346,7.083690078,-3.531259732
154,F1154,2,NSGAII,RAMOS,SM-102,18PG,10.717,45.8,43.7,0.2,25.8,20,54.1,0.1,0.318896278,1.142124164,-0.823227886
155,F1155,2,NSGAII,RAMOS,SM-102,18PG,4.007,82.6,16.8,0.2,68.7,13.9,17.4,0,1.517852418,3.962103213,-2.444250795
156,F1156,2,NSGAII,RAMOS,SM-102,18PG,10.13,66.3,43.2,1.4,37.7,28.6,33.2,0.5,0.466403587,2.462043807,-1.99564022
157,F1157,2,NSGAII,RAMOS,SM-102,18PG,14.544,66.5,43.2,0.2,37.8,28.8,33.4,0.1,0.433849683,2.565014607,-2.131164924
158,F1158,2,NSGAII,RAMOS,SM-102,18PG,4.165,78.8,34,0.2,52,26.8,21.2,0,4.327235743,3.824375669,0.502860075
159,F1159,2,NSGAII,RAMOS,SM-102,18PG,10.13,65.5,50.6,0.2,32.4,33.1,34.5,0.1,0.339800134,1.973935707,-1.634135572
160,F1160,2,NSGAII,RAMOS,SM-102,18PG,10.717,67,31.8,0.2,45.7,21.3,32.9,0.1,3.928083319,7.288025249,-3.35994193
161,F1161,2,NSGAII,RAMOS,SM-102,18PG,10.717,48.1,34.9,0.2,31.3,16.8,51.8,0.1,5.442288783,8.030975562,-2.588686779
162,F1162,2,NSGAII,RAMOS,SM-102,18PG,11.016,66.5,43.1,0.2,37.9,28.7,33.4,0.1,0.571144552,1.252902043,-0.681757491
163,F1163,2,NSGAII,RAMOS,SM-102,18PG,10.081,65.7,48.9,1,33.6,32.2,33.9,0.3,0.113589019,-0.67325566,0.786844679
164,F1164,2,NSGAII,RAMOS,SM-102,18PG,4.188,82.8,28.6,0.5,59.1,23.7,17.1,0.1,2.649270487,4.637541687,-1.9882712
165,F1165,2,NSGAII,RAMOS,SM-102,18PG,10.717,74,35.4,0.2,47.8,26.2,26,0.1,3.835108001,6.745413058,-2.910305057
